sector,row,column,level,map_file,campaign_name,water_type,natural_dirt,priority,status
A1,A,1,0,a1.dat,Tropical,1,300,surface,queued
A2,A,2,0,A2.dat,Oronegro,1,250,surface,queued
A3,A,3,0,A3.dat,Oronegro,1,250,surface,A3-active
A6,A,6,0,A6.DAT,Hills,0,225,surface,queued
A7,A,7,0,A7.DAT,Hills,0,225,surface,queued
A8,A,8,0,A8.dat,Army Outpost,0,225,surface,queued
A9,A,9,0,A9.dat,Omerta,0,150,surface,queued
A10,A,10,0,A10.dat,Omerta,0,150,surface,queued
A10,A,10,1,a10_b1.dat,Omerta,0,150,underground-followup,queued
A11,A,11,0,A11.dat,Farmland,0,160,surface,queued
A12,A,12,0,A12.DAT,Forest,0,210,surface,queued
A13,A,13,0,A13.DAT,Woods,0,200,surface,queued
A14,A,14,0,A14.DAT,Plains,0,200,surface,queued
A15,A,15,0,A15.DAT,Forest,0,210,surface,queued
B1,B,1,0,B1.dat,Oronegro Oil Rig,1,250,surface,queued
B2,B,2,0,b2.dat,Oronegro,1,250,surface,queued
B2,B,2,1,B2_B1.DAT,Oronegro,1,250,underground-followup,queued
B3,B,3,0,B3.DAT,Woods,0,200,surface,queued
B4,B,4,0,B4.DAT,Woods,0,200,surface,queued
B5,B,5,0,B5.DAT,Farmland,0,160,surface,queued
B6,B,6,0,B6.DAT,Farmland,0,160,surface,queued
B7,B,7,0,B7.DAT,Plains,0,200,surface,queued
B8,B,8,0,B8.DAT,Farmland,0,160,surface,queued
B9,B,9,0,b9.dat,Training Camp,,,surface,queued
B10,B,10,0,b10.dat,Omerta,0,150,surface,queued
B11,B,11,0,b11.dat,Woods,0,200,surface,queued
B12,B,12,0,b12.dat,"Farm, road",0,210,surface,queued
B13,B,13,0,b13.dat,Drassen Airport,1,100,surface,queued
B14,B,14,0,B14.DAT,Drassen,1,100,surface,queued
B15,B,15,0,B15.DAT,Swamp,3,100,surface,queued
B16,B,16,0,B16.DAT,Forest,0,210,surface,queued
C1,C,1,0,c1.dat,Oronegro,1,250,surface,queued
C2,C,2,0,c2.dat,"Tropical, road",0,250,surface,queued
C3,C,3,0,C3.DAT,"Tropical, road",0,250,surface,queued
C4,C,4,0,C4.DAT,Woods,0,200,surface,queued
C5,C,5,0,c5.dat,San Mona,1,100,surface,queued
C6,C,6,0,C6.DAT,San Mona,1,100,surface,queued
C7,C,7,0,c7.dat,"Plains, road",0,180,surface,queued
C8,C,8,0,c8.dat,Woods,0,200,surface,queued
C9,C,9,0,c9.dat,"Plains, road",0,180,surface,queued
C10,C,10,0,c10.dat,Woods,0,200,surface,queued
C11,C,11,0,c11.dat,Rebel Outpost,0,210,surface,queued
C12,C,12,0,c12.dat,Woods,0,200,surface,queued
C13,C,13,0,c13.dat,Drassen,1,100,surface,queued
C14,C,14,0,c14.dat,Water,1,120,surface,queued
C15,C,15,0,C15.DAT,Swamp,3,100,surface,queued
C16,C,16,0,c16.dat,Swamp,3,100,surface,queued
D2,D,2,0,d2.dat,SAM Site,1,300,surface,queued
D3,D,3,0,D3.DAT,"Plains, road",0,180,surface,queued
D4,D,4,0,D4.DAT,San Mona Mine,0,120,surface,queued
D4,D,4,1,D4_B1.DAT,San Mona Mine,0,120,underground-followup,queued
D5,D,5,0,D5.DAT,San Mona,1,100,surface,queued
D5,D,5,1,D5_B1.DAT,San Mona,1,100,underground-followup,queued
D6,D,6,0,D6.DAT,Farmland,0,160,surface,queued
D7,D,7,0,D7.DAT,"Forest, road",0,170,surface,queued
D8,D,8,0,D8.DAT,Forest,0,210,surface,queued
D9,D,9,0,d9.dat,Field Hospital,1,100,surface,queued
D10,D,10,0,d10.dat,Plains,0,200,surface,queued
D11,D,11,0,D11.DAT,Woods,0,200,surface,queued
D12,D,12,0,d12.dat,Swamp,3,100,surface,queued
D13,D,13,0,d13.dat,Drassen Mine,1,100,surface,queued
D13,D,13,1,D13_B1.DAT,Drassen Mine,1,100,underground-followup,queued
D14,D,14,0,d14.dat,Arulco Dam,1,100,surface,queued
D15,D,15,0,d15.dat,SAM Site,1,160,surface,queued
D16,D,16,0,d16.dat,Forest,0,210,surface,queued
E2,E,2,0,E2.DAT,Tropical,1,300,surface,queued
E3,E,3,0,E3.DAT,"Plains, road",0,180,surface,queued
E4,E,4,0,E4.DAT,Hills,0,225,surface,queued
E5,E,5,0,E5.DAT,Hills,0,225,surface,queued
E6,E,6,0,E6.DAT,Plains,0,200,surface,queued
E7,E,7,0,E7.DAT,"Farm, road",0,210,surface,queued
E8,E,8,0,e8.dat,Farmland,0,160,surface,queued
E9,E,9,0,e9.dat,"Farm, road",0,210,surface,queued
E10,E,10,0,E10.DAT,Swamp,3,100,surface,queued
E11,E,11,0,E11.DAT,Woods,0,200,surface,queued
E12,E,12,0,E12.DAT,Woods,0,200,surface,queued
E13,E,13,0,e13.dat,Water,1,120,surface,queued
E13,E,13,1,E13_B1.DAT,Water,1,120,underground-followup,queued
E13,E,13,2,E13_B2.DAT,Water,1,120,underground-followup,queued
E14,E,14,0,E14.DAT,Swamp,3,100,surface,queued
E15,E,15,0,e15.dat,"Forest, road",0,170,surface,queued
F2,F,2,0,f2.dat,Coastline,2,180,surface,queued
F3,F,3,0,f3.dat,"Plains, road",0,180,surface,queued
F4,F,4,0,F4.DAT,Hills,0,225,surface,queued
F5,F,5,0,f5.dat,Hills,0,225,surface,queued
F6,F,6,0,F6.DAT,Hills,0,225,surface,queued
F7,F,7,0,f7.dat,Salinas,1,100,surface,queued
F8,F,8,0,f8.dat,"Salinas, Hospital",1,100,surface,queued
F9,F,9,0,f9.dat,Salinas,1,100,surface,queued
