"priority","event","emotion","variant","sex","kind","subtitle","audio_path","recording_status","seed_audio_path","seed_source","seed_license"
"P0","casualty","angry","0","Female","emotional_override","Damn it, I'm hit!","Voice\Battlefield\Female\casualty__angry.ogg","recording_required","","",""
"P0","casualty","angry","0","Male","emotional_override","Damn it, I'm hit!","Voice\Battlefield\Male\casualty__angry.ogg","recording_required","","",""
"P0","casualty","controlled","0","Female","pool","I'm hit!","Voice\Battlefield\Female\casualty__controlled.ogg","recording_required","","",""
"P0","casualty","controlled","0","Male","pool","I'm hit!","Voice\Battlefield\Male\casualty__controlled.ogg","recording_required","","",""
"P0","casualty","controlled","1","Female","pool","Man hit!","Voice\Battlefield\Female\casualty__controlled 0.ogg","recording_required","","",""
"P0","casualty","controlled","1","Male","pool","Man hit!","Voice\Battlefield\Male\casualty__controlled 0.ogg","recording_required","","",""
"P0","casualty","controlled","2","Female","pool","They got me!","Voice\Battlefield\Female\casualty__controlled 1.ogg","recording_required","","",""
"P0","casualty","controlled","2","Male","pool","They got me!","Voice\Battlefield\Male\casualty__controlled 1.ogg","recording_required","","",""
"P0","casualty","controlled","3","Female","pool","Hit!","Voice\Battlefield\Female\casualty__controlled 2.ogg","recording_required","","",""
"P0","casualty","controlled","3","Male","pool","Hit!","Voice\Battlefield\Male\casualty__controlled 2.ogg","recording_required","","",""
"P0","casualty","controlled","4","Female","pool","I'm wounded!","Voice\Battlefield\Female\casualty__controlled 3.ogg","recording_required","","",""
"P0","casualty","controlled","4","Male","pool","I'm wounded!","Voice\Battlefield\Male\casualty__controlled 3.ogg","recording_required","","",""
"P0","casualty","controlled","5","Female","pool","Under fire, I'm hit!","Voice\Battlefield\Female\casualty__controlled 4.ogg","recording_required","","",""
"P0","casualty","controlled","5","Male","pool","Under fire, I'm hit!","Voice\Battlefield\Male\casualty__controlled 4.ogg","recording_required","","",""
"P0","casualty","controlled","6","Female","pool","I've been hit!","Voice\Battlefield\Female\casualty__controlled 5.ogg","recording_required","","",""
